NAME,R,MSINI,A,PER,ECC,MASS
,rearth,mjupiter,au,day,,mearth
Kepler-1596 b,1.9055267242595757,,0.315387,66.373379,0,4.4602383247966255
Kepler-404 c,1.7199956752010785,,0.117713,14.751166,,4.038686371397007
Kepler-279 b,3.6199963719603017,,0.104337,12.309681,,12.81592307421914
HD 27894 b,,0.617925,0.122117,17.990999,0.049,196.3868296173546
Kepler-1256 b,1.4907944372148445,,0.110556,12.4127754,0,3.670591172039771
HD 156279 b,,9.7848,0.494507,131.05,0.708,3109.771979511901
Kepler-411 c,3.2730223734340944,,0.07255,7.83442788,0,10.196701034448125
Kepler-207 d,3.309989591884731,,0.0636703,5.868075,,10.447267650898864
Kepler-502 b,4.7750257913798775,,0.0541085,4.28686431,0,23.970491593853566
Kepler-297 c,6.539991897273483,,0.347807,74.920137,,37.25223847544441
Kepler-436 c,2.3314679920352455,,0.115577,16.79713874,0,5.657962006628502
Kepler-345 b,0.7399989734874022,,0.0744222,7.415563,,0.3191577975293763
K2-110 b,2.6496797460058636,0.0529276,0.102068,13.86375,0.079,16.82235105955609
HATS-30 b,13.45727808595036,0.704661,0.0435518,3.1743516,0,224.29398845033643
Kepler-1449 b,1.6813471096408021,,0.112305,13.2274528,0,3.956403650698001
61 Vir d,,0.0715929,0.474527,123.01,0.35,22.753412880385657
Kepler-141 c,1.4100001041062382,,0.0716875,7.010606,,3.0516178959525964
Kepler-1399 b,1.2554058418651322,,0.026927,1.63865306,0,2.0600427809581197
HD 179079 b,,0.0837774,0.119635,14.476,0.115,26.625849382344075
Kepler-504 b,1.5916752637932925,,0.060873,9.54927542,0,3.771434382846239
Kepler-220 d,0.9799978226117495,,0.180985,28.122397,,0.8621315873254995
OGLE-05-390L b,,,2.72349,3500,,5.498227377724214
WASP-4 b,15.03124316018877,1.22306,0.0230406,1.3382299,0,388.72467560510194
Kepler-432 c,,2.36402,1.17816,406.2,0.498,751.3248257507281
Kepler-141 b,0.6899990731409039,,0.041677,3.107675,,0.24994909877473132
Kepler-1641 b,3.104887662470015,,0.148109,19.672266,0,9.13627412875364
HAT-P-67 b,23.69219839137047,,0.0657911,4.8101025,0,317.8166114291453
Kepler-1026 b,2.20816920399492,,0.199129,36.5156053,0,5.271433443808376
HD 4113 b,,1.64829,1.27266,526.62,0.903,523.8539424525459
Kepler-488 b,15.7934538498926,,0.0427479,3.12082923,0,317.8166114291453
Kepler-999 b,2.489727590975369,,0.070282,5.991857235,,6.211407853771216
HD 330075 b,,0.623724,0.0392074,3.38773,0,198.22984814703221
Kepler-1029 b,1.2554058418651322,,0.0493183,4.41769648,0,2.0600427809581197
Kepler-754 b,2.006407550838024,,0.11898,14.5596237,0,4.711440574470222
Kepler-524 c,0.9639723428607265,,0.0307775,1.88897906,0,0.8128445872250678
Kepler-256 e,2.349996437183487,,0.0949212,10.681572,,5.719268830973185
HD 104985 b,,4.9174,0.678014,199.505,0.09,1562.831405041679
HATS-10 b,10.861502328279581,0.524155,0.0449161,3.312846,0,167.17153761173043
Kepler-189 b,1.2099982609240998,,0.0932453,10.399931,,1.8147010695992767
Ross 128 b,,0.004436,0.0496746,9.8658,0.116,1.4098344882996885
K2-138 e,3.350577311111459,,0.0780677,8.26144,0,10.729838400120519
Kepler-691 b,2.0848704159545943,,0.0639541,8.114379,0,4.9194197649894535
